price,area,bedroom,bathroom,facade,urgent,floor,district,mean_land_price_of_district,facility
8.7,55.0,4.0,6.0,1.0,0.0,4.0,TAN BINH,0.10818958685246544,0.0
7.5,44.0,4.0,6.0,1.0,0.0,4.0,TAN BINH,0.10818958685246544,1.0
4.4,84.0,2.0,1.0,1.0,0.0,1.0,THU DUC,0.07739925980445196,2.0
3.7,55.0,3.0,2.0,0.0,1.0,2.0,BINH THANH,0.11057247745426507,0.0
4.99,53.0,1.0,1.0,1.0,1.0,1.0,10,0.1246569785410537,1.0
4.5,67.0,2.0,2.0,1.0,0.0,2.0,THU DUC,0.07739925980445196,2.0
5.2,52.0,3.0,3.0,1.0,0.0,2.0,BINH THANH,0.11057247745426507,0.0
5.99,70.0,1.0,1.0,0.0,0.0,3.0,TAN BINH,0.10818958685246544,0.0
5.4,78.0,3.0,3.0,0.0,1.0,2.0,THU DUC,0.07739925980445196,3.0
5.4,78.0,3.0,3.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,3.0
3.4,24.0,3.0,3.0,0.0,0.0,4.0,4,0.12601125749710232,2.0
3.5,28.0,3.0,2.0,1.0,0.0,3.0,7,0.09975934773649435,1.0
3.19,20.0,1.0,1.0,1.0,0.0,3.0,TAN BINH,0.10818958685246544,1.0
3.4,72.0,3.0,3.0,0.0,0.0,4.0,4,0.12601125749710232,2.0
4.75,63.0,1.0,1.0,1.0,1.0,1.0,TAN BINH,0.10818958685246544,3.0
2.2,30.0,2.0,2.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
6.5,63.0,2.0,2.0,1.0,0.0,2.0,GO VAP,0.10348560001584498,2.0
8.1,44.0,4.0,1.0,0.0,0.0,4.0,TAN BINH,0.10818958685246544,0.0
6.8,45.0,3.0,4.0,1.0,0.0,3.0,PHU NHUAN,0.12307967709930681,2.0
8.1,44.0,4.0,3.0,1.0,0.0,4.0,TAN BINH,0.10818958685246544,0.0
3.49,43.0,1.0,1.0,0.0,1.0,1.0,TAN BINH,0.10818958685246544,1.0
6.4,84.0,3.0,1.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,0.0
5.59,43.0,1.0,1.0,0.0,1.0,4.0,11,0.11410860554881458,1.0
3.8,36.0,1.0,1.0,1.0,0.0,3.0,10,0.1246569785410537,0.0
4.9,52.0,2.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,1.0
3.8,60.0,6.0,1.0,0.0,0.0,1.0,10,0.1246569785410537,0.0
2.5,53.0,2.0,1.0,0.0,1.0,1.0,12,0.06605619406752164,0.0
1.85,18.0,1.0,1.0,0.0,1.0,2.0,GO VAP,0.10348560001584498,0.0
5.0,39.0,3.0,3.0,1.0,1.0,3.0,10,0.1246569785410537,3.0
6.5,87.0,4.0,3.0,1.0,0.0,3.0,THU DUC,0.07739925980445196,1.0
3.1,40.1,5.0,4.0,1.0,1.0,4.0,PHU NHUAN,0.12307967709930681,1.0
4.0,90.0,4.0,1.0,1.0,0.0,3.0,9,0.0778805983721728,0.0
4.5,58.0,2.0,2.0,1.0,1.0,1.0,THU DUC,0.07739925980445196,3.0
5.99,100.0,5.0,4.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,1.0
3.89,46.0,1.0,1.0,0.0,1.0,1.0,TAN BINH,0.10818958685246544,2.0
3.89,32.0,3.0,1.0,0.0,1.0,3.0,TAN BINH,0.10818958685246544,0.0
3.6,45.0,2.0,2.0,0.0,0.0,1.0,THU DUC,0.07739925980445196,0.0
3.6,45.0,2.0,2.0,0.0,0.0,2.0,THU DUC,0.07739925980445196,0.0
8.7,92.0,4.0,3.0,1.0,1.0,3.0,TAN BINH,0.10818958685246544,0.0
6.3,70.0,4.0,3.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,1.0
5.6,52.0,5.0,4.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,0.0
5.9,74.0,3.0,1.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,0.0
5.4,72.0,4.0,4.0,1.0,0.0,4.0,TAN PHU,0.08977856929214675,2.0
5.8,49.0,3.0,3.0,1.0,0.0,2.0,TAN BINH,0.10818958685246544,0.0
4.75,85.0,3.0,2.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,4.0
5.2,41.0,3.0,4.0,0.0,0.0,4.0,TAN PHU,0.08977856929214675,0.0
8.0,86.0,4.0,4.0,0.0,0.0,3.0,10,0.1246569785410537,0.0
5.45,23.0,3.0,3.0,1.0,0.0,2.0,5,0.14258525260156796,1.0
6.0,80.0,4.0,3.0,1.0,1.0,1.0,THU DUC,0.07739925980445196,0.0
3.09,28.0,3.0,1.0,0.0,1.0,3.0,TAN BINH,0.10818958685246544,1.0
5.5,64.0,4.0,4.0,1.0,0.0,4.0,TAN PHU,0.08977856929214675,0.0
3.99,44.0,3.0,1.0,0.0,1.0,1.0,TAN BINH,0.10818958685246544,3.0
5.8,84.0,4.0,1.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,3.0
6.8,96.0,5.0,5.0,1.0,0.0,3.0,2,0.09464763979473478,2.0
3.9,23.1,4.0,3.0,0.0,1.0,3.0,TAN BINH,0.10818958685246544,0.0
5.25,33.0,3.0,4.0,1.0,1.0,4.0,TAN BINH,0.10818958685246544,0.0
8.5,68.0,4.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,0.0
4.15,50.0,2.0,2.0,0.0,1.0,2.0,BINH TAN,0.0799054007556501,0.0
5.19,56.0,1.0,1.0,1.0,1.0,1.0,TAN BINH,0.10818958685246544,3.0
5.9,88.0,3.0,1.0,1.0,0.0,4.0,TAN PHU,0.08977856929214675,3.0
5.59,60.0,1.0,1.0,0.0,1.0,1.0,11,0.11410860554881458,3.0
4.3,33.0,1.0,2.0,1.0,1.0,2.0,3,0.11497351452777377,0.0
2.8,24.0,2.0,3.0,1.0,0.0,3.0,8,0.10265030798817504,2.0
2.88,56.0,2.0,2.0,0.0,1.0,3.0,12,0.06605619406752164,1.0
4.0,48.0,2.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,1.0
6.9,60.0,3.0,4.0,1.0,0.0,3.0,2,0.09464763979473478,2.0
5.5,38.0,5.0,4.0,0.0,0.0,4.0,PHU NHUAN,0.12307967709930681,0.0
6.9,50.0,3.0,4.0,0.0,0.0,2.0,PHU NHUAN,0.12307967709930681,0.0
4.2,44.0,4.0,3.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,2.0
4.65,56.0,2.0,2.0,0.0,1.0,4.0,9,0.0778805983721728,0.0
3.8,65.0,3.0,2.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,1.0
5.0,50.0,3.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,0.0
4.15,35.0,3.0,3.0,0.0,0.0,3.0,GO VAP,0.10348560001584498,0.0
6.0,46.0,3.0,3.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,0.0
3.8,62.0,4.0,3.0,0.0,1.0,3.0,GO VAP,0.10348560001584498,1.0
3.45,55.0,2.0,1.0,0.0,1.0,4.0,9,0.0778805983721728,3.0
3.95,48.0,3.0,3.0,0.0,0.0,2.0,TAN BINH,0.10818958685246544,2.0
8.5,86.0,4.0,4.0,1.0,0.0,3.0,GO VAP,0.10348560001584498,1.0
5.5,48.0,1.0,1.0,0.0,0.0,1.0,BINH THANH,0.11057247745426507,0.0
5.7,56.0,4.0,5.0,1.0,0.0,3.0,BINH TAN,0.0799054007556501,2.0
5.75,49.0,1.0,1.0,0.0,0.0,2.0,TAN BINH,0.10818958685246544,2.0
5.6,51.0,2.0,2.0,0.0,0.0,2.0,TAN BINH,0.10818958685246544,0.0
6.35,64.0,3.0,2.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
4.55,57.0,3.0,1.0,0.0,1.0,2.0,BINH TAN,0.0799054007556501,0.0
4.1,50.0,1.0,1.0,1.0,0.0,1.0,BINH THANH,0.11057247745426507,4.0
7.5,90.0,3.0,2.0,1.0,1.0,3.0,TAN BINH,0.10818958685246544,0.0
5.75,49.0,2.0,2.0,1.0,1.0,2.0,TAN BINH,0.10818958685246544,0.0
4.2,64.0,3.0,1.0,0.0,0.0,3.0,TAN PHU,0.08977856929214675,2.0
5.5,40.0,3.0,3.0,1.0,0.0,4.0,BINH THANH,0.11057247745426507,1.0
4.9,68.0,1.0,1.0,0.0,0.0,2.0,BINH TAN,0.0799054007556501,0.0
4.9,68.0,1.0,1.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,0.0
7.79,68.0,4.0,4.0,0.0,0.0,3.0,GO VAP,0.10348560001584498,0.0
5.2,56.0,3.0,2.0,1.0,1.0,2.0,7,0.09975934773649435,2.0
4.95,43.9,4.0,3.0,0.0,0.0,3.0,7,0.09975934773649435,3.0
3.95,65.0,2.0,2.0,0.0,0.0,2.0,TAN PHU,0.08977856929214675,1.0
5.9,96.0,3.0,1.0,1.0,0.0,3.0,TAN PHU,0.08977856929214675,2.0
5.8,80.0,3.0,3.0,1.0,0.0,3.0,THU DUC,0.07739925980445196,3.0
7.0,100.0,1.0,1.0,0.0,0.0,1.0,GO VAP,0.10348560001584498,2.0
3.95,64.0,3.0,3.0,0.0,0.0,3.0,GO VAP,0.10348560001584498,2.0
